url,name,brand,price,currency,original_price,key_features,images,uniq_id,scraped_at
https://www.gymboree.com/us/p/Girls-Sleeveless-Faux-Suede-Embroidered-Jumper---County-Fair-3033335-3263,Girls Suede Jumper - County Fair - rio rust,Gymboree,19.99,USD,$44.95,"From hot dogs to cotton candy, she'll want to try all the food at the county fair in this jumper! | 100% polyester faux suede | Functional snap closures at shoulders and waist | Non-functional button front | Features braiding at top of patch pockets | Front patch pockets | Above-the-knee length | Includes diaper cover made of 100% cotton batiste for sizes 3T and under | Machine wash; imported | County Fair Collection",https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3033335/3033335_3263.jpg | https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3033335/3033335_3263-1.jpg | https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3033335/3033335_3263-2.jpg | https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3033335/3033335_3263-3.jpg,99429358-a1f6-549a-9db6-8a1b32f6b46b,19/09/2022 09:46:12
https://www.gymboree.com/us/p/Girls-Short-Sleeve-Faux-Fur-Collar-Dress---Purrrfect-in-Pink-3033279-2052,Girls Faux Fur Collar Dress - Purrrfect in Pink - pink sapphire1,Gymboree,22.48,USD,$44.95,It's all about the details with this Purrrfect in Pink dress featuring faux fur at patch pockets and collar! | 100% combed cotton | Buttons at back | Features allover leopard print at faux fur collar and pocket trim | Cable knit center at front | Patch pockets | Ribbed sleeve cuffs and hem | At-the-knee length | Machine wash; imported | Purrrfect in Pink Collection,https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3033279/3033279_2052.jpg | https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3033279/3033279_2052-1.jpg | https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3033279/3033279_2052-2.jpg,008566a8-15b3-588d-80d0-267da1fc4dc6,19/09/2022 09:46:12
https://www.gymboree.com/us/p/Boys-Long-Sleeve-Oxford-Button-Down-Top-with-Stain-and-Wrinkle-Resistance---Uniform-3030571-1309,Boys Oxford Button Down Top with Stain and Wrinkle Resistance - Uniform - cloudless,Gymboree,23.07,USD,$32.95,He's dressed for schooling success in our button down top that's stain and wrinkle resistant! | 100% cotton oxford with nanotex stain and wrinkle resistance | Made with protective NanotexÂ® fabric for best-in-class quality that lasts! | Button front | Pointed collar | Button sleeve cuffs | Chest pocket | Curved hem | Pre-washed for added softness and to reduce shrinkage | Machine wash; imported | Uniform,https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3030571/3030571_1309.jpg | https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3030571/3030571_1309-1.jpg | https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3030571/3030571_1309-2.jpg,841bd357-8b2c-5510-8b9f-06f511b5844b,19/09/2022 09:46:13
https://www.gymboree.com/us/p/Girls-Long-Sleeve-Embroidered-Cat-Empire-Top-And-Cat-Print-Knit-Leggings-Set---Purrrfect-in-Pink-3037227-BQ,Girls Embroidered Cat Empire Top And Cat Leggings Set - Purrrfect in Pink - multi clr,Gymboree,30.98,USD,$61.95,"From the bakery to the café, this empire top and leggings set will keep her stylish wherever she goes! | Top made of 100% ribbed cotton | Features embroidered cats | Ruffle empire waist | Leggings made of 94% ribbed cotton/6% elastane | Easy pull-on style | Features allover cat print | Full length | Machine wash; imported | Purrrfect in Pink Collection",https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3037227/3037227_BQ.jpg | https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3037227/3037227_BQ-1.jpg | https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3037227/3037227_BQ-2.jpg,5ad225df-6b22-53a3-bf56-9e36f5c1ff35,19/09/2022 09:46:13
https://www.gymboree.com/us/p/Girls-Long-Sleeve-Cable-Knit-Long-Cardigan---Uniform-3030588-32PP,Girls Cable Knit Long Cardigan - Uniform - navy slate5,Gymboree,27.97,USD,$39.95,"Study sessions just got cozier; layer this long cardigan over her favorite polos and jumpers! | 100% combed cotton | Button front | Features allover cable knit | Stripes at sleeve cuffs and hem | Front welt pockets | Ribbed neck, sleeve cuffs and hem | Machine wash; imported | Uniform",https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3030588/3030588_32PP.jpg | https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3030588/3030588_32PP-1.jpg | https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3030588/3030588_32PP-2.jpg | https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3030588/3030588_32PP-3.jpg,c0755acd-b7ae-510c-ad3d-8c04f28ac247,19/09/2022 09:46:13
https://www.gymboree.com/us/p/Girls-Belted-Woven-Chino-Pants-with-Stain-and-Wrinkle-Resistance---Uniform-3030599-JJ,Girls Belted Chino Pants with Stain and Wrinkle Resistance - Uniform - sahara3,Gymboree,24.47,USD,$34.95,She's ready to learn (and play) in these chino pants; pair with her favorite polo or layering top! | 98% cotton twill/2% spandex with Nanotex® stain and wrinkle resistance | Made with protective Nanotex® fabric for best-in-class quality that lasts! | Hook-and-bar button closure with zip fly | Inner adjustable waist tabs for a custom fit | Front slant pockets | Back welt pockets | Full length hits at ankle | Includes removable bow belt | Pre-washed for added softness and to reduce shrinkage | Machine wash; imported | Uniform,https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3030599/3030599_JJ.jpg | https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3030599/3030599_JJ-1.jpg | https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3030599/3030599_JJ-2.jpg | https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3030599/3030599_JJ-3.jpg,232499f1-daf0-562c-bf8a-2d31f061a888,19/09/2022 09:46:13
https://www.gymboree.com/us/p/Boys-Corduroy-Pull-On-Pants---Holiday-Express-3034590-113,Boys Corduroy Pull On Pants - Holiday Express - big red,Gymboree,31.47,USD,$44.95,Explore all the festive lights in these comfy pull on pants! | 100% cotton corduroy | Easy pull-on style | Functional drawstring | Front side slant pockets | Back patch pockets | Roll-up cuffs | Fully lined | Machine wash; imported | Holiday Express Collection,https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3034590/3034590_113.jpg | https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3034590/3034590_113-1.jpg | https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3034590/3034590_113-2.jpg | https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3034590/3034590_113-3.jpg,bcbbb762-8094-5f58-a406-5a22f6093b3a,19/09/2022 09:46:13
https://www.gymboree.com/us/p/Boys-Plaid-Poplin-Newsboy-Hat---Holiday-Traditions-3033420-BQ,Boys Plaid Newsboy Hat - Holiday Traditions - multi clr,Gymboree,18.71,USD,$24.95,This newsboy hat is the perfect finishing touch to all his holiday outfits. | 100% cotton poplin | Features allover plaid | Spot clean; imported | Holiday Traditions Collection,https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3033420/3033420_BQ.jpg,aed46d98-d119-560a-a69f-5cb49852d381,19/09/2022 09:46:13
https://www.gymboree.com/us/p/Boys-Belted-Woven-Chino-Pants-with-Stain-and-Wrinkle-Resistance---Uniform-3030578-H2,Boys Belted Chino Pants with Stain and Wrinkle Resistance - Uniform - sesame,Gymboree,27.97,USD,$39.95,Go from recess to the classroom in these essential chino pants! | 98% cotton twill/2% spandex with Nanotex® stain and wrinkle resistance | Made with protective Nanotex® fabric for best-in-class quality that lasts! | Hook-and-bar button closure with zip fly | Inner adjustable waist tabs for a custom fit | Front side slant pockets | Back welt pockets | Includes adjustable striped belt | Pre-washed for added softness and to reduce shrinkage | Machine wash; imported | Uniform,https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3030578/3030578_H2.jpg | https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3030578/3030578_H2-1.jpg | https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3030578/3030578_H2-2.jpg | https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3030578/3030578_H2-3.jpg,f0d42c92-f4dc-5b1b-a321-45e54e7a85f9,19/09/2022 09:46:13
https://www.gymboree.com/us/p/Boys-Cowboy-Hat---County-Fair-3033228-BQ,Boys Cowboy Hat - County Fair - multi clr3,Gymboree,14.98,USD,$29.95,He'll love to lasso the animals in the cutest cowboy hat! | 100% polyester felt | Features braided belt | Spot clean; imported | County Fair Collection,https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3033228/3033228_BQ.jpg | https://assets.theplace.com/image/upload/v1/ecom/assets/products/gym/3033228/3033228_BQ-1.jpg,88ceb18f-c60d-5875-9838-fdf23c965474,19/09/2022 09:46:13
